Unnamed: 0,Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
0.0,6317637.0,Le Petit Souffle,162.0,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",121.027535,14.565443,"French, Japanese, Desserts",1100.0,Botswana Pula(P),Yes,No,No,nan,3.0,4.8,Dark Green,Excellent,314.0
1.0,5899981.320413815,Izakaya Kikufuji,162.0,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",121.014101,14.553708,Japanese,1200.0,Botswana Pula(P),Yes,No,No,No,3.0,4.5,unknown,unknown,591.0
2.0,6300002.0,Heat - Edsa Shangri-La,162.0,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",121.056831,14.581404,unknown,4000.0,Botswana Pula(P),Yes,No,No,No,4.0,4.4,Green,Very Good,270.0
3.0,6318506.0,Ooma,47.68083167506139,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",noise,"SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",35.99728428284533,-40.698892306705254,"Japanese, Sushi",1500.0,Botswana Pula(P),random,unknown,No,No,4.0,4.9,Dark Green,Excellent,4994.032832956791
7760.866002935315,6314302.0,Sambo Kojin,162.0,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.057508,14.58445,"Japanese, Korean",1500.0,Botswana Pula(P),unknown,No,No,No,4.0,4.8,Dark Green,Excellent,229.0
5.0,18189371.0,Din Tai Fung,162.0,noise,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",-21.194822208402968,14.583764,nan,1000.0,Botswana Pula(P),random,No,No,No,3.0,4.4,Green,Very Good,336.0
6.0,6300781.0,Buffet 101,67.31946962655229,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9796667,14.53133333,"Asian, European",369276.6034580123,noise,Yes,No,noise,No,4.0,4.0,Green,random,314.8568672675741
7.0,6301290.0,Vikings,126.90010085434822,noise,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City",random,120.9793333,50.39355994067202,"Seafood, Filipino, Asian, European",2000.0,Botswana Pula(P),Yes,No,unknown,No,4.0,4.2,Green,Very Good,1401.6924284171907
3488.596201978112,4650030.813653953,Spiral - Sofitel Philippine Plaza Manila,162.0,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",nan,"Sofitel Philippine Plaza Manila, Pasay City, Pasay City",120.98009,14.55299,random,6000.0,Botswana Pula(P),Yes,No,No,No,4.0,4.9,Dark Green,random,621.0
9.0,6314987.0,Locavore,162.0,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",3.3830031501488804,14.572041,Filipino,1100.0,Botswana Pula(P),Yes,random,unknown,No,3.0,4.8,Dark Green,Excellent,532.0
10.0,15387976.199259069,Silantro Fil-Mex,162.0,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.057916,14.567689,"Filipino, Mexican",800.0,Botswana Pula(P),No,No,No,No,3.0,4.9,Dark Green,Excellent,1070.0
11.0,6309455.0,unknown,162.0,Pasig City,nan,Kapitolyo,"Kapitolyo, Pasig City",121.06082,13.247174713799389,"American, Ice Cream, Desserts",900.0,Botswana Pula(P),Yes,No,No,No,2.410277615614412,1.9090828743868378,Green,Very Good,488.0
12.0,6318433.0,Silantro Fil-Mex,162.0,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",121.075419,14.649503,"Filipino, Mexican",800.0,Botswana Pula(P),No,No,No,No,3.0,3.6449051362713223,Dark Green,Excellent,294.0
13.0,6310470.0,Guevarra's,162.0,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,"Addition Hills, San Juan City",121.0335917,-11.95982895328632,Filipino,1000.0,Botswana Pula(P),Yes,No,No,No,3.0,1.108503216402311,Green,Very Good,458.0
14.0,6314605.0,Sodam Korean Restaurant,162.0,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,"Little Baguio, San Juan City",121.03811,14.59889,Korean,90849.10208215585,Botswana Pula(P),No,No,No,No,3.0,4.3,random,random,223.0
15.0,18185059.0,Cafe Arabelle,162.0,nan,noise,nan,"Nuvali, Don Jose, Santa Rosa, Santa Rosa",121.05704,14.237082,noise,800.0,Botswana Pula(P),No,No,nan,No,3.0,3.6,Yellow,Good,29.0
